username,created_at,lng,lat,text,,,,
anuarbekiman, Tue Jan 26 05:34:17 +0000 2021,-97.754724,30.323346, @ajtourville Thank you my friend @ajtourville 🙏.  We’ve been helping @tesla employees relocate to Austin. Would lov… https://t.co/aByyniFIp1 ,,,,
lovedbymikayla, Tue Jan 26 05:34:22 +0000 2021,-76.921232,38.848156, Whenever I am blessed and ready to have a baby I want my push gift to be the newest Tesla from my husband ,,,,
richtong, Tue Jan 26 05:41:55 +0000 2021,-112.173889,41.709444, Thank you #tesla  for your #supercharger @ Tremonton,,,,
robingarciajr, Tue Jan 26 05:44:48 +0000 2021,-90.224221,15.772468, Money does not represent such a value as people have placed upon it. Nikola Tesla ,,,,
jenzfc, Tue Jan 26 05:46:10 +0000 2021,-122.419,37.7793, Can’t park for shit... 🥲🥸 | #Tesla #Model3 #SatinOceanShimmer #MartianWheels #BayBridge @ San Francisco,,,,
JoydeJoe, Tue Jan 26 05:55:55 +0000 2021,-76.355918,36.841764, a tesla? ,,,,
FamousJerry, Tue Jan 26 05:58:00 +0000 2021,-118.503259,34.415631, Is the @Tesla cyber truck ever really going to come out? Feels like no updates or even hints of progress being made… https://t.co/JtnkJdnOl4 ,,,,
Osunak15, Tue Jan 26 19:40:01 +0000 2021,-71.161358,8.598652, Requisitos para abrir una cuenta bancaria en Venezuela:✓ Constancia de trabajo de la NASA o TESLA.✓ Referencias p… https://t.co/VHvh1fGLe1 ,,,,
GoodHumorLife, Tue Jan 26 19:41:47 +0000 2021,-115.038337,36.006256, https://t.co/h7sJ0qDN4d ,,,,
MColeman210, Tue Jan 26 19:42:11 +0000 2021,-98.540651,29.417501, That Tesla stock is crazy. ,,,,
JustinMSalter, Tue Jan 26 19:44:15 +0000 2021,-86.7837,36.1651, Little dirty 😆 but she made it! #tesla #modelS @ Nashville, Tennessee https://t.co/I1RToiPlan ,,,
WHOLELOTTASHYNE, Tue Jan 26 19:49:56 +0000 2021,-76.069946,36.802541, i fuck wit master p he mah mentor fr but dis shit ugly ,,,,
dogsoftesla, Tue Jan 26 19:50:20 +0000 2021,-117.104989,32.810012, ✨🤎 T I N K S &amp;  D O P P E L 💛✨Tinks (brown lab on the left) is currently being fostered and is up for adoption in… https://t.co/XFY7HclmFz ,,,,
teslaexperienc2, Tue Jan 26 19:51:55 +0000 2021,-0.27837,39.68002, Que viene... #heatedstearingwheel #tesla #model3 #modely #volantecalefactable en Sagunto https://t.co/oUxkYXWTt7 ,,,,
cten_hue, Tue Jan 26 19:53:04 +0000 2021,-77.157488,38.601291, @FondationLV Littlest Brother wants to transfer Tesla Superchargers to Churchill (Corp.) [ @Guerlain, @theFADER ]… https://t.co/9iRTEwm8je ,,,
LihWhoaDie1500, Tue Jan 26 19:53:35 +0000 2021,-76.620482,39.284713, I wann one ,,,,
mgshuheb, Tue Jan 26 19:54:34 +0000 2021,-73.831187,40.670879, https://t.co/wNeloqfrsB ,,,,
JustinMSalter, Tue Jan 26 19:54:52 +0000 2021,-86.7837,36.1651, Woohoo 🙌🏽! Baby 🍼 Boy 👦🏻 Blue 🚙 made it in one piece! 😆 #Tesla #ModelS @ Nashville, Tennessee https://t.co/0LX6LmajFy ,,,
FrankJoosten, Tue Jan 26 20:00:27 +0000 2021,6.077157,51.878933, @AdamHoov @ajtourville @Tesla So apparently lagging behind the real innovators is fruitful... I think @SenSchumer h… https://t.co/BCDPuSTmkH ,,,,
triplesss1123, Tue Jan 26 20:05:09 +0000 2021,-74.103027,40.81686," Watch ""US Government Cybertrucks? Tesla Stock Rises"," Pelosi Buys TSLA Calls"" on YouTubehttps://t.co/9wz8ahmcKI ",,,
MColeman210, Tue Jan 26 20:06:18 +0000 2021,-98.540651,29.417501, Tesla throwing ass today yessir ,,,,
itzjoshtho, Tue Jan 26 20:07:24 +0000 2021,-6.815333,53.154807, Everyday I think of clearing my Tesla stocks and moving in with Caitlin ,,,,
Njurus, Tue Jan 26 20:07:27 +0000 2021,36.86362,-1.274863, @elonmuskWill be laughing all the way to the bank.The future of US government vehicles is electric… https://t.co/1SMgnaiVTm ,,,,
JeanPhi99234016, Tue Jan 26 20:10:00 +0000 2021,2.484037,49.256, #AvecPôleEmploi @valdoise #TousMobilisés @Barreirosab @Prefet95 ,,,,
chrisliston_, Tue Jan 26 20:11:54 +0000 2021,-3.046674,53.423568, @TraderBJones hey Brian. Wondering what you think of $SQM as a long term investment. Supplying lithium to $Tesla, $NIO and $XPENG ,,,
Candishertz, Tue Jan 26 20:13:46 +0000 2021,-122.805579,45.484892, Too many Tesla’s in the McDonald’s drive-thru: got time for the money but not yourself ? ,,,,
Candishertz, Tue Jan 26 20:14:06 +0000 2021,-122.805579,45.484892, Tesla Diet 2021 ,,,,
HkStackzbundlez, Tue Jan 26 20:14:21 +0000 2021,-81.367773,28.501678, after I get my new car my next car will either be the 500-mile range Tesla truck or a 1991 Honda NSX # goals ,,,,
HardinHardout, Tue Jan 26 20:16:41 +0000 2021,-84.810451,34.171761, Bro Master P tryna do everything right now 🔥 ,,,,
CarlosDG_Tesla, Tue Jan 26 20:25:30 +0000 2021,-3.684669,40.246021, @VilchesFrancesc @AngeloF55 @TeslaParaTodos @ClubTeslaES @Electroshock00 @mitmagob @foroelectricos Ningún Tesla nuevo tiene Free SuC ,,,,
13arm13arm, Tue Jan 26 20:26:24 +0000 2021,150.931975,-33.848244, @dkaygee @AlexSibila @CodingMark Tesla only recently made it available via a firmware update for the S &amp; X, provide… https://t.co/w43BFdm1lP ,,,
TacosandTeslas, Tue Jan 26 20:37:12 +0000 2021,-122.228685,37.791994, @brookec_4 @Tesla https://t.co/r6VcVrlxuP ,,,,
robby, Tue Jan 26 20:43:12 +0000 2021,-119.165389,34.181956, @KevinElwell8 it was almost the entire roof except for a small northern facing side. I didn’t get any power walls s… https://t.co/TzcKZHUMHt ,,,,
dburkland, Tue Jan 26 20:45:19 +0000 2021,-93.262046,44.97061, @Bar_Down83 @Abstract_Ocean @Tesla 2 things:1) They’ll be no longer restricted by CA’s strict laws which prevent… https://t.co/eznHl4S43q ,,,,
MidnightViber, Tue Jan 26 20:47:35 +0000 2021,-81.858339,35.331418, I’m just saying, and I think I speak for everyone here, that when you get Starlink up and running commercially, we’… https://t.co/aeQ2agNZ85 ,
Meekdogg, Tue Jan 26 20:47:50 +0000 2021,-76.069946,36.802541, $GME for the win! ,,,,
califormoi, Tue Jan 26 20:48:07 +0000 2021,-118.411907,34.020789, $GME really going for Tesla’s status 👀. Took yesterday’s after market’s pi $147.64 (not showing up in @TeamViewer 🧐… https://t.co/BknRq3CAbV ,,,,
Elix_9, Tue Jan 26 20:50:18 +0000 2021,-115.234435,36.018805, Miss Tesla about to hit 900 a share 💅 ,,,,
Bjuana631, Tue Jan 26 21:00:16 +0000 2021,-100.076888,31.168893, I believe Trump was the hold-ups because he insisted on his signature being on the stimulus checks , I cannot imagi… https://t.co/4riBmaXwdL ,,,
almighty_red, Tue Jan 26 21:00:36 +0000 2021,-73.948775,40.655138, tesla closed + 0.33% hilarious. ,,,,
n_master101, Tue Jan 26 21:00:57 +0000 2021,-85.672627,40.105399, Waiting on #Tesla to hit 1k like 🙄🙄🙄 ,,,,
JaniPeltopuro, Tue Jan 26 21:01:46 +0000 2021,24.969625,60.319161, @harrym_vids @DickieMeaden 👍 Every car journo or blogger should use a Tesla for a week or two. You need to have a r… https://t.co/dcrolm6UPN ,,,,
eddiegigante, Tue Jan 26 21:05:14 +0000 2021,-58.508385,-34.529882, @SawyerMerritt Sawyer, with this share price, what is the market value of Tesla? ,,
Soulinahole, Tue Jan 26 21:06:37 +0000 2021,-81.511516,41.165246, @chicago_glenn @elonmusk @Tesla Now that's #Presidential https://t.co/5V5FwtqPwg ,,,,
calummcburney, Tue Jan 26 21:09:35 +0000 2021,-5.928413,54.595869, This is why autonomy matters. ,,,,
VeroDavalos20, Tue Jan 26 21:14:42 +0000 2021,-87.967292,43.056722, I’ve applied to Tesla like 30 times @elonmusk  please let me in ,,,,
harrym_vids, Tue Jan 26 21:15:18 +0000 2021,-0.252754,51.385446, @JaniPeltopuro @DickieMeaden I was saying 200ml+ journeys easy in a Tesla but not so easy in a regular EV, unless t… https://t.co/pFo9KiljeE ,,,
_Zdanek, Tue Jan 26 21:20:15 +0000 2021,31.181446,48.382929, Усіх цікавить порівняння #TeslaFSD з системою #lineassist🇩🇪 таких 🚗гігантів як #Mercedes #BMW #Audi #Volkswagen ?!!… https://t.co/BQW8xosOa7 ,,,,
